COUNTRY,YEAR,BOR,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Tajikistan,2018,66.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.27,96.23,92.65,77.93,93.84,88.14,66.49,64.85,65.04,62.8,59.8,74.5,68.7,64.2,59.8,54.5,55.1,55.9,58.1,58.6,60.3,63.6,66.5,69.4,85,84.4,73.1,73.2,72.1,66.3,66.4,64.9,66.9,,
Turkey,2019,65.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,2020,84.00,,,,,,,,,,,,,,,,,,,,,,87.5,,,,,98.8,96.1,94.8,92.4,87.9,82.7,81.2,76.7,78.8,70.9,65.8,63.3,72.1,,,88,78,80.9,83,77.1,72.9,77.2,80.4,80.4,84,88.8,93.9,102.2,106.4,103,99.2,101.4,97.3,95,93.7,84
Ukraine,2019,83.00,,,,,,,,,,,,,,,,,,,,,,91.5,92.3,92.6,92.1,92.1,91.1,88.6,89.1,88,84.8,84.5,84.9,84.9,85.8,84.4,83.3,81.9,85.2,88.2,87.9,87.9,89.5,89.2,90.4,91.2,91.2,91,91.2,89.7,88.2,89.5,88.9,89.4,89.4,88.1,86.9,87.5,87,85.9,83,
United Kingdom,2017,84.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,2019,64.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,2009,86.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.5,81.5,81.3,84.2,82.3,80.5,86.5,86.8,83.9,86.6,86.8,86.5,,,,,,,,,,,
India,2021,57.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,2000,68.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,2019,83.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
